Brand,Model_Name,Price,Front_Cam_MP,Display_cm,Processor,RAM_in_gb,ROM_in_gb,Battery_in_mAh,Expandable_Memory_in_gb,Rating
realme,realme 8 Pro (Infinite Blue),19999.0,16.0,16.26,Qualcomm Snapdragon 720G Processor,8.0,128.0,4500.0,256.0,4.3
OPPO,OPPO A31 (Fantasy White),12486.0,8.0,16.51,MediaTek Helio P35 Octa Core Processor,4.0,64.0,4230.0,256.0,4.3
REDMI,REDMI 9i (Sea Blue),9831.0,5.0,16.59,MediaTek Helio G25 Processor,4.0,128.0,5000.0,512.0,4.3
realme,realme X7 5G (Space Silver),17999.0,16.0,16.33,MediaTek Dimensity 800U Processor,6.0,128.0,4310.0,0.0,4.3
SAMSUNG,SAMSUNG Galaxy M01 (Black),7799.0,5.0,14.48,,3.0,32.0,4000.0,512.0,4.2
REDMI,REDMI 9 Power (Blazing Blue),12999.0,8.0,16.59,,6.0,128.0,6000.0,0.0,4.3
ViVO,ViVO Y31 (Ocean Blue),16490.0,16.0,16.71,Qualcomm Snapdragon 662 Processor,6.0,128.0,5000.0,1000.0,4.4
ViVO,ViVO Y31 (Racing Black),16490.0,16.0,16.71,Qualcomm Snapdragon 662 Processor,6.0,128.0,5000.0,1000.0,4.4
realme,realme X7 5G (Nebula),19999.0,16.0,16.33,MediaTek Dimensity 800U Processor,8.0,128.0,4310.0,0.0,4.3
realme,realme X7 5G (Space Silver),19999.0,16.0,16.33,MediaTek Dimensity 800U Processor,8.0,128.0,4310.0,0.0,4.3
Redmi,Redmi 9A (Sea Blue),7849.0,5.0,16.59,MediaTek Helio G25 Processor,3.0,32.0,5000.0,512.0,4.3
ViVO,ViVO Y91i (Ocean Blue),7490.0,5.0,15.8,MTK Helio P22 Processor,2.0,32.0,4030.0,256.0,4.3
POCO,POCO X3 (Shadow Gray),16999.0,20.0,16.94,Qualcomm Snapdragon 732G Processor,6.0,128.0,6000.0,512.0,4.4
GIONEE,GIONEE F8 Neo (Black),5388.0,5.0,13.84,Unisoc SC9863 Processor,2.0,32.0,3000.0,256.0,3.9
GIONEE,GIONEE F8 Neo (Blue),5299.0,5.0,13.84,Unisoc SC9863 Processor,2.0,32.0,3000.0,256.0,3.9
realme,realme 7 Pro (Mirror Blue),17999.0,32.0,16.26,Qualcomm Snapdragon 720G Processor,8.0,128.0,4500.0,256.0,4.4
OPPO,OPPO A53 (Electric Black),10990.0,16.0,16.51,Qualcomm Snapdragon 460 Processor,4.0,64.0,5000.0,256.0,4.5
OPPO,OPPO A53 (Fancy Blue),10990.0,16.0,16.51,Qualcomm Snapdragon 460 Processor,4.0,64.0,5000.0,256.0,4.5
